iteration	BTN	SB	BB
50000	559.65	-2358.21	1798.56
100000	401.77	-2296.25	1894.47
150000	299.10	-2220.01	1920.91
200000	282.09	-2218.00	1935.91
250000	287.80	-2123.93	1836.13
300000	270.73	-2236.45	1965.72
350000	264.85	-2201.64	1936.79
400000	276.33	-2226.83	1950.51
450000	281.24	-2131.06	1849.82
500000	278.71	-2199.78	1921.08
550000	283.73	-2166.79	1883.06
600000	272.86	-2169.54	1896.68
650000	272.18	-2163.06	1890.88
700000	273.26	-2230.19	1956.93
750000	273.04	-2162.01	1888.97
800000	287.29	-2243.65	1956.36
850000	271.65	-2239.23	1967.58
900000	268.98	-2185.47	1916.49
950000	262.06	-2238.85	1976.79
1000000	282.59	-2179.40	1896.82
1050000	268.70	-2196.04	1927.34
1100000	266.30	-2120.32	1854.01
1150000	275.88	-2222.40	1946.52
1200000	262.72	-2133.27	1870.55
1250000	264.68	-2151.16	1886.48
1300000	269.97	-2210.44	1940.47
1350000	274.92	-2167.84	1892.93
1400000	271.92	-2023.40	1751.49
1450000	275.31	-2140.46	1865.15
1500000	268.83	-2154.65	1885.82
1550000	271.05	-2263.09	1992.04
1600000	270.96	-2123.39	1852.43
1650000	272.95	-2170.48	1897.54
1700000	257.69	-2302.23	2044.54
1750000	271.36	-2218.09	1946.73
1800000	264.90	-2108.24	1843.33
1850000	266.52	-2193.64	1927.12
1900000	274.16	-2210.06	1935.90
1950000	264.90	-2208.17	1943.27
2000000	272.19	-2190.25	1918.06
2050000	260.28	-2146.04	1885.75
2100000	270.73	-2200.38	1929.65
2150000	260.73	-2221.81	1961.08
2200000	261.72	-2044.42	1782.70
2250000	264.88	-2146.51	1881.63
2300000	268.95	-2125.85	1856.90
2350000	263.80	-2152.37	1888.56
2400000	281.65	-2231.93	1950.28
2450000	270.06	-2103.59	1833.53
2500000	275.82	-2183.75	1907.94
2550000	269.36	-2164.92	1895.55
2600000	277.89	-2158.35	1880.46
2650000	268.63	-2110.85	1842.22
2700000	273.38	-2232.46	1959.07
2750000	271.62	-2052.48	1780.86
2800000	265.77	-2173.12	1907.36
2850000	263.01	-2198.40	1935.39
2900000	267.28	-2247.58	1980.30
2950000	274.90	-2169.93	1895.03
3000000	274.50	-2199.51	1925.01
3050000	268.96	-2219.33	1950.37
3100000	289.28	-2187.67	1898.39
3150000	263.69	-2204.24	1940.55
3200000	280.94	-2178.29	1897.35
3250000	280.55	-2143.92	1863.36
3300000	257.39	-2207.26	1949.87
3350000	266.90	-2067.49	1800.59
3400000	270.39	-2291.64	2021.25
3450000	268.43	-2204.73	1936.31
3500000	272.11	-2094.25	1822.13
3550000	266.20	-2141.42	1875.22
3600000	273.65	-2153.10	1879.44
3650000	272.43	-2213.55	1941.12
3700000	272.27	-2165.83	1893.56
3750000	277.47	-2077.30	1799.82
3800000	267.84	-2175.65	1907.82
3850000	274.73	-2180.16	1905.44
3900000	269.56	-2193.03	1923.46
3950000	270.41	-2138.51	1868.10
4000000	270.00	-2326.04	2056.03
4050000	263.44	-2253.83	1990.39
4100000	268.06	-2122.91	1854.85
4150000	270.55	-2138.70	1868.15
4200000	268.84	-2170.55	1901.71
4250000	280.51	-2181.15	1900.64
4300000	273.92	-2137.38	1863.46
4350000	266.50	-2213.77	1947.27
4400000	266.43	-2116.70	1850.28
4450000	275.90	-2132.48	1856.58
4500000	268.80	-2170.33	1901.53
4550000	275.24	-2252.25	1977.01
4600000	276.45	-2159.25	1882.80
4650000	277.28	-2209.53	1932.24
4700000	265.99	-2247.88	1981.89
4750000	265.81	-2128.02	1862.21
4800000	277.75	-2273.90	1996.15
4850000	263.58	-2140.27	1876.69
4900000	273.70	-2157.39	1883.69
4950000	271.75	-2101.10	1829.35
5000000	276.47	-2189.46	1912.99
