iteration	BTN	SB	BB
50000	552.12	-483.78	-68.34
100000	21.12	141.10	-162.22
150000	-285.86	470.10	-184.24
200000	-365.57	539.06	-173.49
250000	-353.46	530.03	-176.57
300000	-384.43	588.02	-203.59
350000	-457.21	638.39	-181.18
400000	-519.98	724.59	-204.61
450000	-526.67	714.93	-188.26
500000	-586.59	765.91	-179.32
550000	-565.06	776.67	-211.61
600000	-631.46	831.79	-200.33
650000	-633.38	837.34	-203.95
700000	-640.61	857.16	-216.55
750000	-649.38	872.78	-223.41
800000	-662.75	908.00	-245.26
850000	-711.90	946.65	-234.75
900000	-685.98	910.33	-224.35
950000	-653.15	892.10	-238.95
1000000	-654.77	895.29	-240.51
1050000	-682.85	898.38	-215.53
1100000	-686.15	902.81	-216.66
1150000	-648.55	900.34	-251.79
1200000	-668.88	904.65	-235.76
1250000	-589.46	829.43	-239.96
1300000	-580.70	803.82	-223.12
1350000	-601.61	833.87	-232.26
1400000	-583.33	813.19	-229.86
1450000	-544.89	777.36	-232.47
1500000	-556.86	799.96	-243.09
1550000	-555.89	778.33	-222.44
1600000	-519.35	757.59	-238.25
1650000	-509.49	744.37	-234.88
1700000	-502.37	748.38	-246.01
1750000	-444.22	682.97	-238.75
1800000	-517.05	750.80	-233.75
1850000	-477.53	696.16	-218.63
1900000	-481.37	703.37	-222.00
1950000	-476.51	695.11	-218.59
2000000	-479.68	698.20	-218.52
2050000	-477.86	704.77	-226.92
2100000	-426.14	653.15	-227.01
2150000	-400.62	625.43	-224.81
2200000	-414.70	643.66	-228.96
2250000	-420.60	648.68	-228.08
2300000	-360.28	589.16	-228.87
2350000	-313.55	540.25	-226.70
2400000	-349.75	580.02	-230.27
2450000	-322.78	555.49	-232.71
2500000	-281.44	514.28	-232.84
2550000	-282.15	526.14	-243.99
2600000	-264.93	496.06	-231.12
2650000	-228.85	452.82	-223.96
2700000	-208.50	446.08	-237.59
2750000	-169.27	405.97	-236.70
2800000	-181.62	397.67	-216.04
2850000	-155.91	382.17	-226.26
2900000	-125.02	334.09	-209.07
2950000	-86.76	304.73	-217.97
3000000	-97.92	308.35	-210.43
3050000	-41.42	272.02	-230.61
3100000	-91.08	313.78	-222.70
3150000	-71.67	309.48	-237.81
3200000	-50.12	273.15	-223.04
3250000	-45.89	268.27	-222.37
3300000	-23.37	229.79	-206.42
3350000	-52.51	268.10	-215.59
3400000	-18.89	228.91	-210.03
3450000	-23.25	242.07	-218.83
3500000	21.16	195.01	-216.17
3550000	24.15	193.49	-217.63
3600000	43.68	172.26	-215.94
3650000	25.10	187.27	-212.37
3700000	33.76	181.24	-215.00
3750000	64.72	145.06	-209.78
3800000	46.14	173.22	-219.36
3850000	53.36	159.67	-213.03
3900000	71.47	160.25	-231.71
3950000	109.80	123.05	-232.86
4000000	74.04	122.86	-196.90
4050000	78.45	157.40	-235.85
4100000	106.82	133.74	-240.56
4150000	75.70	134.21	-209.91
4200000	103.65	100.99	-204.64
4250000	91.41	124.63	-216.04
4300000	64.48	139.27	-203.75
4350000	69.43	147.91	-217.34
4400000	86.19	150.25	-236.44
4450000	121.41	87.79	-209.20
4500000	111.49	93.10	-204.59
4550000	98.98	107.48	-206.45
4600000	120.97	120.74	-241.71
4650000	110.71	119.47	-230.19
4700000	114.63	109.95	-224.58
4750000	169.97	66.07	-236.04
4800000	166.51	54.87	-221.38
4850000	160.46	66.60	-227.06
4900000	160.67	54.00	-214.67
4950000	174.40	44.39	-218.78
5000000	200.89	19.67	-220.55
