iteration	BTN	SB	BB
100000	1700.48	-1200.61	-499.87
200000	1874.38	-1475.86	-398.52
300000	1967.53	-1553.09	-414.44
400000	1989.14	-1487.21	-501.93
500000	1963.94	-1525.30	-438.64
600000	2008.97	-1646.47	-362.49
700000	2015.76	-1610.24	-405.51
800000	1923.63	-1540.42	-383.21
900000	1900.01	-1511.06	-388.94
1000000	1930.29	-1546.25	-384.04
1100000	1932.45	-1551.45	-381.01
1200000	1939.79	-1455.37	-484.42
1300000	1875.39	-1407.08	-468.31
1400000	1880.37	-1474.24	-406.14
1500000	1873.25	-1474.05	-399.19
1600000	1869.58	-1443.85	-425.73
1700000	1898.90	-1469.25	-429.64
1800000	1882.87	-1490.26	-392.61
1900000	1828.55	-1426.33	-402.22
2000000	1863.38	-1411.58	-451.80
2100000	1858.23	-1409.98	-448.24
2200000	1886.74	-1443.00	-443.74
2300000	1901.41	-1418.62	-482.80
2400000	1818.12	-1351.94	-466.18
2500000	1846.28	-1449.55	-396.73
2600000	1873.83	-1459.41	-414.42
2700000	1851.04	-1401.81	-449.24
2800000	1866.73	-1400.14	-466.59
2900000	1816.14	-1377.16	-438.97
3000000	1883.62	-1438.16	-445.47
3100000	1850.42	-1400.14	-450.29
3200000	1796.14	-1336.34	-459.79
3300000	1852.83	-1353.28	-499.55
3400000	1852.25	-1391.17	-461.08
3500000	1860.72	-1409.60	-451.11
3600000	1873.29	-1514.53	-358.75
3700000	1807.13	-1349.85	-457.27
3800000	1861.84	-1433.87	-427.97
3900000	1862.05	-1337.75	-524.30
4000000	1845.32	-1409.85	-435.47
4100000	1797.94	-1357.78	-440.16
4200000	1850.68	-1441.71	-408.97
4300000	1834.50	-1422.29	-412.20
4400000	1869.55	-1451.05	-418.50
4500000	1852.51	-1375.67	-476.85
4600000	1848.29	-1424.72	-423.57
4700000	1800.90	-1337.58	-463.32
4800000	1821.57	-1366.65	-454.92
4900000	1828.04	-1390.52	-437.52
5000000	1858.75	-1386.47	-472.28
