iteration	BTN	SB	BB
50000	1286.29	27.98	-1314.27
100000	1450.53	-23.36	-1427.16
150000	1444.96	-69.77	-1375.19
200000	1502.26	-62.40	-1439.85
250000	1487.96	-84.63	-1403.33
300000	1482.96	-90.12	-1392.84
350000	1481.27	-81.27	-1400.00
400000	1520.49	-100.10	-1420.38
450000	1515.35	-86.40	-1428.96
500000	1520.66	-77.72	-1442.93
550000	1514.58	-89.67	-1424.91
600000	1483.93	-88.09	-1395.83
650000	1477.62	-80.90	-1396.71
700000	1518.98	-89.01	-1429.97
750000	1520.67	-95.57	-1425.10
800000	1503.82	-84.80	-1419.02
850000	1527.56	-85.28	-1442.27
900000	1528.17	-93.03	-1435.13
950000	1524.28	-100.43	-1423.84
1000000	1506.19	-121.83	-1384.37
1050000	1516.56	-101.40	-1415.16
1100000	1470.56	-87.43	-1383.13
1150000	1482.37	-96.89	-1385.48
1200000	1522.14	-93.98	-1428.16
1250000	1493.30	-91.43	-1401.87
1300000	1506.80	-88.52	-1418.28
1350000	1490.31	-89.32	-1400.99
1400000	1520.52	-95.52	-1425.01
1450000	1468.11	-94.43	-1373.69
1500000	1526.84	-102.70	-1424.15
1550000	1476.72	-116.27	-1360.45
1600000	1512.19	-117.37	-1394.81
1650000	1529.52	-89.29	-1440.23
1700000	1528.42	-83.44	-1444.98
1750000	1529.84	-85.57	-1444.28
1800000	1507.54	-74.39	-1433.15
1850000	1506.94	-104.00	-1402.95
1900000	1525.59	-94.90	-1430.69
1950000	1508.29	-103.84	-1404.45
2000000	1530.75	-102.12	-1428.64
2050000	1484.94	-100.72	-1384.22
2100000	1475.69	-104.48	-1371.21
2150000	1476.17	-115.53	-1360.64
2200000	1507.10	-115.03	-1392.07
2250000	1491.27	-110.75	-1380.53
2300000	1540.80	-83.52	-1457.29
2350000	1469.31	-98.63	-1370.69
2400000	1515.85	-118.10	-1397.75
2450000	1512.83	-87.98	-1424.85
2500000	1506.11	-107.62	-1398.49
2550000	1529.64	-91.44	-1438.20
2600000	1524.73	-89.43	-1435.30
2650000	1502.96	-89.69	-1413.27
2700000	1493.68	-116.62	-1377.06
2750000	1493.36	-98.38	-1394.98
2800000	1488.18	-91.64	-1396.54
2850000	1486.54	-101.20	-1385.34
2900000	1469.26	-106.14	-1363.12
2950000	1549.81	-104.04	-1445.78
3000000	1522.38	-99.37	-1423.00
3050000	1483.81	-92.04	-1391.76
3100000	1503.75	-79.57	-1424.17
3150000	1535.16	-82.83	-1452.32
3200000	1525.77	-112.96	-1412.80
3250000	1499.15	-92.40	-1406.76
3300000	1519.50	-108.01	-1411.49
3350000	1555.62	-112.35	-1443.26
3400000	1523.15	-112.27	-1410.88
3450000	1543.45	-89.94	-1453.52
3500000	1530.00	-128.66	-1401.35
3550000	1483.56	-102.17	-1381.39
3600000	1451.24	-93.59	-1357.65
3650000	1471.93	-100.89	-1371.04
3700000	1516.16	-118.23	-1397.93
3750000	1517.97	-104.11	-1413.87
3800000	1499.38	-94.45	-1404.93
3850000	1517.05	-96.19	-1420.87
3900000	1473.22	-88.15	-1385.07
3950000	1529.28	-107.39	-1421.89
4000000	1502.39	-102.82	-1399.57
4050000	1490.54	-104.39	-1386.16
4100000	1516.76	-101.14	-1415.62
4150000	1533.80	-98.57	-1435.23
4200000	1508.01	-101.90	-1406.11
4250000	1508.29	-110.62	-1397.67
4300000	1505.03	-97.11	-1407.91
4350000	1472.54	-94.91	-1377.63
4400000	1495.77	-85.92	-1409.85
4450000	1508.57	-87.19	-1421.38
4500000	1498.39	-69.29	-1429.10
4550000	1498.69	-85.93	-1412.76
4600000	1520.79	-92.33	-1428.46
4650000	1511.44	-86.54	-1424.91
4700000	1526.90	-82.52	-1444.38
4750000	1511.75	-87.73	-1424.03
4800000	1512.51	-75.19	-1437.31
4850000	1502.67	-90.89	-1411.78
4900000	1515.64	-92.31	-1423.33
4950000	1516.42	-92.15	-1424.28
5000000	1521.33	-92.85	-1428.48
