iteration	BTN	SB	BB
100000	1400.20	1682.04	-3082.24
200000	1224.65	1417.67	-2642.32
300000	986.04	1318.23	-2304.27
400000	809.06	1164.24	-1973.29
500000	697.26	1074.32	-1771.59
600000	633.61	891.49	-1525.10
700000	534.58	828.11	-1362.68
800000	493.08	702.76	-1195.84
900000	454.27	654.23	-1108.50
1000000	299.87	568.31	-868.18
1100000	236.91	530.76	-767.67
1200000	260.56	553.80	-814.35
1300000	262.86	515.30	-778.15
1400000	220.06	470.60	-690.66
1500000	201.31	456.98	-658.30
1600000	193.49	432.82	-626.30
1700000	123.48	465.92	-589.40
1800000	170.38	383.84	-554.22
1900000	154.63	342.91	-497.53
2000000	141.72	354.08	-495.79
2100000	45.30	362.22	-407.52
2200000	95.50	332.43	-427.93
2300000	76.57	338.97	-415.54
2400000	88.69	318.97	-407.66
2500000	33.45	274.57	-308.02
2600000	69.62	384.12	-453.75
2700000	24.56	328.44	-353.00
2800000	45.20	306.03	-351.24
2900000	-0.14	342.55	-342.41
3000000	10.11	323.37	-333.48
3100000	48.41	277.59	-326.00
3200000	-13.62	296.08	-282.45
3300000	38.32	351.97	-390.29
3400000	-39.56	348.68	-309.12
3500000	-25.29	328.22	-302.94
3600000	-2.95	292.73	-289.78
3700000	-26.97	256.51	-229.54
3800000	32.87	265.01	-297.89
3900000	5.22	264.19	-269.41
4000000	-54.60	278.22	-223.62
4100000	-24.25	202.03	-177.79
4200000	-51.29	228.08	-176.79
4300000	-37.51	268.26	-230.75
4400000	-67.05	175.18	-108.12
4500000	-20.74	230.63	-209.89
4600000	-80.46	249.78	-169.32
4700000	-52.64	258.51	-205.87
4800000	-69.97	246.91	-176.95
4900000	-72.63	249.18	-176.55
5000000	-81.45	195.89	-114.45
