iteration	BTN	SB	BB
50000	832.82	-722.60	-110.22
100000	580.08	-348.67	-231.42
150000	365.26	-158.51	-206.75
200000	230.10	-32.96	-197.14
250000	138.02	67.30	-205.32
300000	105.46	74.77	-180.23
350000	61.23	127.49	-188.72
400000	30.17	163.81	-193.98
450000	-44.26	216.53	-172.27
500000	-62.73	281.37	-218.64
550000	-142.03	366.43	-224.40
600000	-228.87	470.30	-241.44
650000	-313.68	524.55	-210.87
700000	-373.53	602.63	-229.11
750000	-419.48	662.52	-243.03
800000	-457.72	697.71	-239.99
850000	-472.99	727.75	-254.76
900000	-503.06	755.13	-252.07
950000	-541.98	792.04	-250.06
1000000	-554.95	826.40	-271.45
1050000	-580.33	859.17	-278.84
1100000	-602.66	879.89	-277.22
1150000	-616.43	888.68	-272.26
1200000	-661.62	940.24	-278.62
1250000	-606.84	897.55	-290.71
1300000	-646.53	909.41	-262.89
1350000	-666.47	948.83	-282.36
1400000	-671.32	947.82	-276.51
1450000	-663.88	976.48	-312.60
1500000	-667.99	975.30	-307.31
1550000	-703.61	1006.51	-302.90
1600000	-722.85	994.33	-271.47
1650000	-690.69	1005.72	-315.03
1700000	-709.44	1011.92	-302.48
1750000	-727.89	1025.21	-297.32
1800000	-735.83	1016.65	-280.82
1850000	-764.06	1043.81	-279.75
1900000	-744.43	1033.93	-289.50
1950000	-745.37	1058.32	-312.95
2000000	-794.25	1107.07	-312.83
2050000	-809.08	1112.24	-303.17
2100000	-822.85	1114.60	-291.75
2150000	-794.43	1094.29	-299.87
2200000	-811.60	1140.13	-328.54
2250000	-802.03	1134.24	-332.22
2300000	-823.36	1132.10	-308.73
2350000	-819.09	1122.22	-303.12
2400000	-802.77	1138.29	-335.52
2450000	-782.68	1101.47	-318.79
2500000	-754.27	1062.63	-308.36
2550000	-716.56	1047.70	-331.15
2600000	-712.43	1042.70	-330.27
2650000	-707.36	1020.25	-312.89
2700000	-710.14	1028.48	-318.34
2750000	-646.73	983.28	-336.54
2800000	-651.38	957.69	-306.30
2850000	-632.70	957.09	-324.39
2900000	-637.49	954.58	-317.09
2950000	-628.09	944.60	-316.51
3000000	-602.30	919.60	-317.30
3050000	-557.41	874.37	-316.96
3100000	-531.63	850.02	-318.40
3150000	-505.81	822.06	-316.25
3200000	-504.38	833.51	-329.13
3250000	-494.62	783.86	-289.24
3300000	-509.91	799.41	-289.50
3350000	-488.84	789.95	-301.11
3400000	-443.83	758.45	-314.62
3450000	-460.52	772.31	-311.80
3500000	-446.31	755.24	-308.93
3550000	-447.40	751.08	-303.68
3600000	-434.08	708.09	-274.01
3650000	-390.23	677.00	-286.76
3700000	-425.17	727.13	-301.95
3750000	-364.28	699.16	-334.89
3800000	-377.39	684.94	-307.55
3850000	-386.10	663.24	-277.15
3900000	-360.42	645.55	-285.13
3950000	-385.64	687.45	-301.81
4000000	-319.48	630.31	-310.84
4050000	-359.57	660.34	-300.76
4100000	-312.45	639.07	-326.62
4150000	-291.07	603.24	-312.18
4200000	-289.80	620.89	-331.09
4250000	-293.29	609.99	-316.70
4300000	-282.19	609.32	-327.13
4350000	-264.45	568.64	-304.19
4400000	-296.61	603.83	-307.23
4450000	-275.93	565.15	-289.22
4500000	-261.84	570.92	-309.08
4550000	-226.99	550.73	-323.75
4600000	-217.70	538.91	-321.21
4650000	-250.12	535.73	-285.61
4700000	-253.49	544.37	-290.88
4750000	-243.85	545.10	-301.26
4800000	-214.61	523.79	-309.18
4850000	-231.78	529.68	-297.90
4900000	-202.09	524.16	-322.07
4950000	-237.26	544.89	-307.63
5000000	-191.60	481.89	-290.29
